Time,NPS score,User id
2016-01-01,7,561
2016-01-01,6,590
2016-01-01,10,831
2016-01-02,5,14
2016-01-02,9,847
2016-01-02,8,299
2016-01-02,5,491
2016-01-02,7,823
2016-01-02,9,268
2016-01-02,8,101
2016-01-02,9,615
2016-01-02,8,336
2016-01-02,5,667
2016-01-02,7,313
2016-01-02,6,4
2016-01-02,7,185
2016-01-02,9,540
2016-01-02,5,634
2016-01-02,6,8
2016-01-02,8,62
2016-01-02,9,786
2016-01-02,8,411
2016-01-03,10,860
2016-01-03,10,879
2016-01-03,7,319
2016-01-03,6,436
2016-01-03,8,598
2016-01-03,5,876
2016-01-03,10,93
2016-01-03,8,39
2016-01-03,9,306
2016-01-03,6,333
2016-01-03,8,231
2016-01-03,7,365
2016-01-03,9,758
2016-01-03,9,970
2016-01-03,8,800
2016-01-03,7,758
2016-01-03,8,128
2016-01-03,7,53
2016-01-03,7,319
2016-01-03,8,215
2016-01-04,7,241
2016-01-04,8,603
2016-01-04,10,422
2016-01-04,8,857
2016-01-04,8,853
2016-01-04,9,969
2016-01-04,8,27
2016-01-04,8,361
2016-01-04,6,693
2016-01-04,6,336
2016-01-04,9,177
2016-01-04,10,187
2016-01-04,10,440
2016-01-04,7,553
2016-01-04,7,73
2016-01-04,10,372
2016-01-04,8,527
2016-01-04,6,912
2016-01-05,7,46
2016-01-05,6,525
2016-01-05,8,500
2016-01-05,7,256
2016-01-05,8,66
2016-01-05,10,488
2016-01-05,6,833
2016-01-05,6,976
2016-01-05,8,979
2016-01-05,8,959
2016-01-05,6,382
2016-01-05,7,139
2016-01-05,10,1
2016-01-05,8,122
2016-01-05,5,261
2016-01-05,6,126
2016-01-05,7,15
2016-01-05,5,105
2016-01-05,0,649
2016-01-05,1,762
2016-01-05,4,990
2016-01-05,0,787
2016-01-05,8,58
2016-01-05,6,989
2016-01-05,5,290
2016-01-05,6,159
2016-01-06,2,786
2016-01-06,4,691
2016-01-06,10,863
2016-01-06,2,102
2016-01-06,9,700
2016-01-06,7,290
2016-01-06,8,189
2016-01-06,5,73
2016-01-06,8,172
2016-01-06,6,193
2016-01-06,6,501
2016-01-06,6,766
2016-01-06,5,791
2016-01-06,4,149
2016-01-06,9,147
2016-01-06,1,381
2016-01-06,7,643
2016-01-07,7,981
2016-01-07,5,27
2016-01-07,1,677
2016-01-07,1,170
2016-01-07,1,37
2016-01-07,6,819
2016-01-07,9,449
2016-01-07,4,196
2016-01-07,5,79
2016-01-07,6,221
2016-01-07,5,575
2016-01-07,2,417
2016-01-07,5,136
2016-01-07,3,649
2016-01-07,6,178
2016-01-07,5,637
2016-01-07,4,157
2016-01-07,3,789
2016-01-08,5,874
2016-01-08,8,168
2016-01-08,5,48
2016-01-08,6,52
2016-01-08,6,442
2016-01-08,7,252
2016-01-08,6,925
2016-01-08,5,348
2016-01-08,4,584
2016-01-08,4,951
2016-01-08,7,86
2016-01-08,5,732
2016-01-08,5,779
2016-01-08,6,784
2016-01-08,7,426
2016-01-08,5,248
2016-01-08,4,470
2016-01-08,4,457
2016-01-08,6,587
2016-01-08,5,862
2016-01-08,5,121
2016-01-08,6,290
2016-01-08,4,312
2016-01-08,6,617
2016-01-08,8,854
2016-01-08,6,434
2016-01-08,7,989
2016-01-08,5,131
2016-01-09,7,585
2016-01-09,5,689
2016-01-09,7,453
2016-01-09,6,225
2016-01-09,5,719
2016-01-09,6,646
2016-01-09,6,617
2016-01-09,6,909
2016-01-09,7,603
2016-01-09,7,46
2016-01-09,3,461
2016-01-09,4,63
2016-01-09,5,999
2016-01-09,7,570
2016-01-09,4,405
2016-01-09,3,10
2016-01-09,6,924
2016-01-09,5,915
2016-01-10,8,965
2016-01-10,5,738
2016-01-10,5,229
2016-01-10,3,764
2016-01-10,7,6
2016-01-10,5,820
2016-01-10,3,257
2016-01-10,3,289
2016-01-10,7,747
2016-01-10,7,76
2016-01-10,7,943
2016-01-10,5,104
2016-01-10,6,22
2016-01-10,6,769
2016-01-10,5,585
2016-01-10,6,970
2016-01-10,5,53
2016-01-10,5,528
2016-01-10,5,477
2016-01-11,6,309
2016-01-11,7,304
2016-01-11,5,399
2016-01-11,6,433
2016-01-11,4,419
2016-01-11,6,680
2016-01-11,7,272
2016-01-11,5,79
2016-01-11,4,437
2016-01-11,5,542
2016-01-11,3,531
2016-01-11,4,611
2016-01-11,4,395
2016-01-11,5,693
2016-01-11,3,128
2016-01-11,6,477
2016-01-11,6,303
2016-01-11,4,613
2016-01-12,6,261
2016-01-12,6,207
2016-01-12,3,932
2016-01-12,3,831
2016-01-12,5,646
2016-01-12,5,312
2016-01-12,7,977
2016-01-12,8,398
2016-01-12,7,801
2016-01-12,8,871
2016-01-12,4,480
2016-01-12,8,971
2016-01-12,6,997
2016-01-12,6,81
2016-01-12,6,822
2016-01-12,8,30
2016-01-13,5,392
2016-01-13,6,647
2016-01-13,4,249
2016-01-13,5,224
2016-01-13,4,542
2016-01-13,5,502
2016-01-13,5,731
2016-01-13,7,802
2016-01-13,5,800
2016-01-13,4,899
2016-01-13,7,82
2016-01-13,6,506
2016-01-13,5,190
2016-01-13,7,438
2016-01-13,6,519
2016-01-13,3,176
2016-01-13,8,134
2016-01-13,6,97
2016-01-13,6,406
2016-01-14,3,681
2016-01-14,4,918
2016-01-14,8,803
2016-01-14,8,634
2016-01-14,6,633
2016-01-14,4,979
2016-01-14,8,498
2016-01-14,5,66
2016-01-14,4,596
2016-01-14,7,87
2016-01-14,8,85
2016-01-14,8,636
2016-01-14,4,308
2016-01-14,6,101
2016-01-14,7,985
2016-01-14,4,113
2016-01-14,6,628
2016-01-14,7,405
2016-01-14,3,393
2016-01-14,4,117
2016-01-15,8,646
2016-01-15,6,205
2016-01-15,4,618
2016-01-15,6,846
2016-01-15,4,554
2016-01-15,6,673
2016-01-15,6,191
2016-01-15,7,2
2016-01-15,7,514
2016-01-15,3,510
2016-01-15,8,642
2016-01-15,5,667
2016-01-15,6,853
2016-01-15,5,680
2016-01-15,7,100
2016-01-15,7,411
2016-01-15,6,522
2016-01-16,7,121
2016-01-16,7,6
2016-01-16,3,557
2016-01-16,5,766
2016-01-16,6,865
2016-01-16,5,443
2016-01-16,6,520
2016-01-16,5,482
2016-01-16,7,451
2016-01-16,3,651
2016-01-16,5,238
2016-01-16,4,721
2016-01-16,7,627
2016-01-16,8,421
2016-01-16,3,96
2016-01-16,6,244
2016-01-16,6,192
2016-01-16,3,114
2016-01-17,5,323
2016-01-17,6,944
2016-01-17,4,391
2016-01-17,6,75
2016-01-17,6,647
2016-01-17,4,362
2016-01-17,7,573
2016-01-17,7,205
2016-01-17,4,11
2016-01-17,8,355
2016-01-17,3,810
2016-01-17,4,441
2016-01-17,6,377
2016-01-17,3,309
2016-01-17,4,912
2016-01-17,5,795
2016-01-17,8,147
2016-01-17,8,95
2016-01-17,4,722
2016-01-18,7,544
2016-01-18,3,353
2016-01-18,8,204
2016-01-18,8,698
2016-01-18,6,996
2016-01-18,3,693
2016-01-18,4,259
2016-01-18,3,734
2016-01-18,7,138
2016-01-18,4,609
2016-01-18,7,269
2016-01-18,6,701
2016-01-18,3,249
2016-01-18,4,919
2016-01-18,4,691
2016-01-18,7,552
2016-01-18,5,346
2016-01-18,7,75
2016-01-18,7,477
2016-01-18,6,864
2016-01-18,3,110
2016-01-18,5,888
2016-01-19,5,913
2016-01-19,7,423
2016-01-19,5,591
2016-01-19,7,556
2016-01-19,8,107
2016-01-19,7,963
2016-01-19,7,751
2016-01-19,4,24
2016-01-19,4,550
2016-01-19,5,330
2016-01-19,5,487
2016-01-19,3,159
2016-01-19,6,173
2016-01-19,4,289
2016-01-19,5,456
2016-01-19,4,831
2016-01-19,6,815
2016-01-19,4,783
2016-01-19,8,576
2016-01-19,6,885
2016-01-19,3,942
2016-01-19,7,838
2016-01-20,6,647
2016-01-20,3,74
2016-01-20,5,921
2016-01-20,6,346
2016-01-20,7,81
2016-01-20,3,288
2016-01-20,3,995
2016-01-20,6,767
2016-01-20,6,203
2016-01-20,3,980
2016-01-20,3,484
2016-01-20,5,274
2016-01-20,7,59
2016-01-20,7,407
2016-01-20,6,568
2016-01-20,5,110
2016-01-20,8,115
2016-01-20,3,252
2016-01-20,6,279
2016-01-20,4,858
2016-01-20,4,614
2016-01-20,5,398
2016-01-20,7,117
2016-01-20,6,983
2016-01-21,8,741
2016-01-21,4,986
2016-01-21,3,920
2016-01-21,5,383
2016-01-21,8,85
2016-01-21,5,544
2016-01-21,4,327
2016-01-21,5,807
2016-01-21,6,199
2016-01-21,4,764
2016-01-21,5,323
2016-01-21,6,783
2016-01-21,6,333
2016-01-21,4,586
2016-01-21,5,40
2016-01-21,7,257
2016-01-21,7,664
2016-01-21,4,511
2016-01-21,5,21
2016-01-21,7,397
2016-01-22,6,561
2016-01-22,7,547
2016-01-22,5,806
2016-01-22,7,968
2016-01-22,3,612
2016-01-22,5,907
2016-01-22,4,688
2016-01-22,4,426
