,competitionIdx,L1,L2,Attendance,Weather,PitchCondition,GoalsHalf1,GoalsHalf2,sum_goals,half_1_percent,half_2_percent,Unnamed: 11,Unnamed: 12,l1_new,uniformly_spaced_point,quantiles,l2_new
137,4,1.433012487,0.836362786,not defined,Light Wind,not defined,0,4,4,0,100,,,0.369192555,0.00162805,-2.942465629,0.291392394
176,4,1.549323944,0.684263731,not defined,good,good,0,2,2,0,100,,,0.397562948,0.002088151,-2.864528838,0.311296818
187,4,1.100163384,1.172799431,not defined,good,Excellent,1,2,3,33.33333333,66.66666667,,,0.40337773,0.002217923,-2.845380112,0.31844701
193,4,1.824160332,1.0173296,not defined,good,Excellent,1,1,2,50,50,,,0.404405738,0.002288707,-2.835359464,0.321731155
236,4,1.248805467,1.358811614,not defined,good,Excellent,1,2,3,33.33333333,66.66666667,,,0.434723237,0.002795998,-2.770792988,0.339857657
298,4,1.646948757,1.19964045,not defined,good,Excellent,0,2,2,0,100,,,0.459425668,0.003527441,-2.694242488,0.356354814
372,5,1.565095763,1.41099608,not defined,good,good,2,1,3,66.66666667,33.33333333,,,0.485489323,0.004400453,-2.619692597,0.375324073
391,5,1.171101753,1.607844831,not defined,good,good,1,1,2,50,50,,,0.490274198,0.004624605,-2.602702794,0.379750646
503,13,1.138074314,1.330118218,not defined,Cold,good,0,1,1,0,100,,,0.518640891,0.00594592,-2.515337722,0.401848926
532,13,1.798518164,0.931779505,not defined,good,Excellent,1,1,2,50,50,,,0.525988039,0.006288047,-2.495553085,0.407001731
580,13,1.144666538,1.102212102,not defined,Cold,good,1,1,2,50,50,,,0.538184239,0.006854325,-2.464808493,0.414374259
592,13,2.220303388,0.962715308,not defined,good,Excellent,2,0,2,100,0,,,0.540650877,0.006995894,-2.457474125,0.41538422
630,13,1.919054878,0.761947424,not defined,Cold,Excellent,1,0,1,100,0,,,0.549562,0.007444198,-2.435082469,0.419585947
683,13,1.855988954,0.950111473,not defined,good,good,2,0,2,100,0,,,0.562147828,0.008069463,-2.40575856,0.425823372
685,13,0.859596537,1.317574314,not defined,good,Excellent,3,1,4,75,25,,,0.562279913,0.008093058,-2.404691648,0.426264727
719,13,1.249951574,1.590724478,not defined,good,Excellent,1,2,3,33.33333333,66.66666667,,,0.567087631,0.008494172,-2.386959901,0.430911911
727,13,1.302182605,1.322771589,not defined,Cold,Excellent,2,2,4,50,50,,,0.568268858,0.008588552,-2.382894774,0.431546885
898,15,1.849971231,0.98528618,not defined,good,good,1,2,3,33.33333333,66.66666667,,,0.594072661,0.010605918,-2.304192586,0.450604511
1075,15,1.833000497,0.730129767,not defined,Cold,Excellent,1,1,2,50,50,,,0.616774777,0.012694068,-2.235445185,0.467808677
1092,15,2.440308585,0.719990172,not defined,Cold,good,2,0,2,100,0,,,0.620233657,0.012894625,-2.229370699,0.468959979
1096,15,0.944072856,1.615353037,not defined,good,good,1,1,2,50,50,,,0.620732323,0.012941815,-2.227953292,0.469168664
1131,15,0.954982365,1.361726268,not defined,good,good,1,0,1,100,0,,,0.625003193,0.013354726,-2.215737981,0.471845602
1205,15,1.552182295,0.96107593,not defined,good,good,0,2,2,0,100,,,0.633224436,0.014227738,-2.190949095,0.478000698
1232,15,1.860121598,1.133634946,not defined,rainy,good,1,1,2,50,50,,,0.636969435,0.01454627,-2.182230311,0.480556971
1249,16,1.602573506,0.915086393,not defined,good,good,1,2,3,33.33333333,66.66666667,,,0.639156557,0.014746826,-2.176824652,0.482164203
1268,16,0.936941023,1.699955542,not defined,windy,Arthificial turf,0,1,1,0,100,,,0.640624349,0.014970978,-2.170857359,0.483372814
1385,16,3.17753784,0.470329393,not defined,good,Excellent,1,4,5,20,80,,,0.653042482,0.016351281,-2.135716086,0.492260138
1419,16,5.521327929,0.087540265,not defined,Hot,Excellent,2,1,3,66.66666667,33.33333333,,,0.656767153,0.016752395,-2.125981622,0.494941577
1447,16,0.946343069,1.624183492,not defined,Hot,good,1,1,2,50,50,,,0.659505235,0.017082724,-2.118113605,0.496948028
1530,16,3.364293283,0.549332488,not defined,good,Excellent,0,1,1,0,100,,,0.666188539,0.018061913,-2.095530882,0.5008366
1552,16,1.068764816,1.164337936,not defined,good,good,1,1,2,50,50,,,0.66885551,0.018321457,-2.089720499,0.50163382
1655,16,1.588502466,0.647082024,not defined,good,Excellent,1,3,4,25,75,,,0.678779092,0.019536596,-2.063415259,0.507237481
1667,16,1.169864033,1.162717388,not defined,good,Arthificial turf,1,2,3,33.33333333,66.66666667,,,0.679849598,0.019678165,-2.060441735,0.508208342
1767,16,2.622755435,0.688054232,not defined,good,Excellent,3,3,6,50,50,,,0.687475039,0.020857911,-2.036344017,0.514342148
1768,16,2.412650523,0.633896962,not defined,good,good,2,3,5,40,60,,,0.687524635,0.020869709,-2.036108936,0.514442188
1988,17,0.745073184,1.777893363,not defined,Cold,good,2,0,2,100,0,,,0.705418739,0.02346515,-1.986928682,0.526302615
2049,17,1.728289654,0.510923571,not defined,good,good,1,1,2,50,50,,,0.71044909,0.024184795,-1.974106883,0.529360245
2062,17,1.518964247,0.632435051,not defined,good,Excellent,1,0,1,100,0,,,0.711474391,0.024338162,-1.971415891,0.52989889
2320,26,1.895271533,0.584717239,not defined,High Wind,Wet and Fast,0,2,2,0,100,,,0.730544892,0.027381907,-1.920745385,0.54116152
2353,26,4.111866548,0.414740308,not defined,windy,good,1,4,5,20,80,,,0.732724676,0.027771224,-1.914608524,0.542380922
2358,26,1.87750432,0.638887639,not defined,good,Uneven & Cutting up,1,1,2,50,50,,,0.732974032,0.027830211,-1.91368496,0.542512894
2365,26,1.636529008,0.810262477,not defined,rainy,Wet and Fast,1,5,6,16.66666667,83.33333333,,,0.733737793,0.027912793,-1.912394707,0.542790282
2392,26,1.181481832,1.175982928,not defined,High Wind,Arthificial turf,3,1,4,75,25,,,0.735600871,0.028231325,-1.907447609,0.543884609
2424,26,4.366630176,0.329625332,not defined,Hot,good,3,1,4,75,25,,,0.737887509,0.028608843,-1.901644189,0.5454231
2520,26,1.916132665,0.640355994,not defined,good,good,0,2,2,0,100,,,0.743692725,0.0297414,-1.884607868,0.548607194
2594,40,2.409404365,1.020298736,not defined,Cold,not defined,1,1,2,50,50,,,0.747829498,0.030614412,-1.871839414,0.551794393
2632,40,1.486402633,1.393352097,not defined,good,good,0,3,3,0,100,,,0.750678833,0.031062715,-1.865399477,0.553607585
2636,40,1.325568163,1.64453392,not defined,Indoor Stadium,Arthificial turf,1,1,2,50,50,,,0.750941703,0.031109905,-1.864726072,0.553940994
2658,40,2.042222005,1.12537878,not defined,Cloudy,Regular,1,3,4,25,75,,,0.752118004,0.031369449,-1.861037377,0.555320859
2741,40,1.846732108,1.116742243,not defined,Fog,Arthificial turf,4,2,6,66.66666667,33.33333333,,,0.757754259,0.032348639,-1.847344156,0.558305137
2770,40,1.523701389,1.173992682,not defined,Hot,good,3,0,3,100,0,,,0.759771546,0.032690765,-1.842640409,0.559469317
2793,40,1.327740508,1.510928653,not defined,good,Arthificial turf,0,1,1,0,100,,,0.761302348,0.032962107,-1.83893863,0.560842165
2817,40,2.06341908,1.056933506,not defined,good,Excellent,2,4,6,33.33333333,66.66666667,,,0.762601907,0.033245246,-1.835102583,0.56165789
2847,40,0.883881601,2.107487263,not defined,good,good,1,2,3,33.33333333,66.66666667,,,0.76420489,0.033599169,-1.830345184,0.562893839
2965,40,1.856124288,1.124190625,not defined,good,Excellent,0,1,1,0,100,,,0.771212906,0.03499127,-1.812023666,0.567092311
2966,40,1.653774261,1.294598015,not defined,good,Arthificial turf,4,3,7,57.14285714,42.85714286,,,0.771250878,0.035003067,-1.811870978,0.567125683
2977,40,2.105544077,0.837789477,not defined,Sun,not defined,0,1,1,0,100,,,0.771748958,0.035132839,-1.810194187,0.567620915
2980,40,1.65519566,1.077144843,not defined,Cold,Arthificial turf,1,1,2,50,50,,,0.771919156,0.035168232,-1.809737762,0.56768253
3048,40,1.663165087,1.411052394,not defined,windy,Arthificial turf,1,0,1,100,0,,,0.775339181,0.035970459,-1.79949181,0.570669914
3090,40,1.682609177,1.362075772,not defined,good,good,0,3,3,0,100,,,0.77854954,0.036465953,-1.793256591,0.57237965
3139,40,1.317289775,1.450342904,not defined,good,good,0,1,1,0,100,,,0.780918295,0.037044028,-1.786069188,0.57392234
3334,40,1.065803252,1.561378353,not defined,good,good,1,0,1,100,0,,,0.791015056,0.039344533,-1.758343584,0.580878395
3338,40,1.317834625,1.469435029,not defined,windy,good,3,0,3,100,0,,,0.791152257,0.039391723,-1.757788835,0.580998677
3373,40,2.378835133,0.602781658,not defined,good,Wet and Fast,0,5,5,0,100,,,0.792181709,0.039804634,-1.7529577,0.582230406
3401,40,1.632605919,1.126267592,not defined,good,good,1,2,3,33.33333333,66.66666667,,,0.793526465,0.040134963,-1.749122042,0.583198549
3415,40,0.932208139,2.020515686,not defined,good,good,2,1,3,66.66666667,33.33333333,,,0.793754254,0.040300127,-1.747213823,0.583811551
3444,40,1.379425979,1.461620693,not defined,High Wind,Regular,0,4,4,0,100,,,0.795020873,0.040642254,-1.7432812,0.584624138
3568,40,1.604366436,1.142187119,not defined,good,good,2,2,4,50,50,,,0.800713307,0.042105139,-1.726762767,0.588499178
3696,40,1.168855383,1.524978659,not defined,Hot,Excellent,0,1,1,0,100,,,0.806948576,0.043615214,-1.710191711,0.592787658
3869,40,1.214374699,1.721701792,not defined,good,good,3,0,3,100,0,,,0.815839896,0.045656175,-1.688515326,0.59855186
3895,40,1.384693018,1.397197329,not defined,Cold,good,2,0,2,100,0,,,0.816958501,0.045962909,-1.685325349,0.599186422
3936,40,2.061600496,0.864957562,not defined,windy,Arthificial turf,3,0,3,100,0,,,0.818825822,0.046446605,-1.680329578,0.600319873
4038,40,1.267955469,1.326663124,not defined,good,Excellent,2,1,3,66.66666667,33.33333333,,,0.823640223,0.047649946,-1.668079775,0.603245017
4051,40,1.439968775,1.472405308,not defined,Hot,good,2,1,3,66.66666667,33.33333333,,,0.824177019,0.047803313,-1.666536395,0.603618847
4053,40,2,1,not defined,good,good,1,3,4,25,75,,,0.824225947,0.047826908,-1.666299304,0.603658336
4055,40,2.393945217,0.859870431,not defined,good,good,0,1,1,0,100,,,0.824454414,0.047850503,-1.666062307,0.603706504
4106,40,1.134843664,1.3343642,not defined,good,Excellent,1,1,2,50,50,,,0.826891978,0.048452173,-1.660050239,0.605531048
4119,40,1.808283427,1.072626861,not defined,good,Excellent,2,1,3,66.66666667,33.33333333,,,0.827485217,0.04860554,-1.658527309,0.605869042
4124,40,1.086273655,1.835517511,not defined,Cold,good,1,1,2,50,50,,,0.827577017,0.048664527,-1.657942589,0.605926603
4126,40,0.980661227,1.987317588,not defined,rainy,Wet and Fast,1,0,1,100,0,,,0.827644954,0.048688122,-1.65770886,0.605987139
4137,40,2.610008918,0.867238538,not defined,good,good,2,3,5,40,60,,,0.828175748,0.048817894,-1.656424965,0.606424712
