,competitionIdx,L1,L2,Attendance,Weather,PitchCondition,GoalsHalf1,GoalsHalf2,sum_goals,half_1_percent,half_2_percent,Unnamed: 11,Unnamed: 12,l1_new,uniformly_spaced_point,quantiles,l2_new
782,15,1.4180714140000001,0.978879225,without fans,Cold,good,1,1,2,50.0,50.0,,,0.576790061,0.009237412,-2.355961664,0.43835309200000006
951,15,1.192459359,0.9978956059999999,without fans,Cold,good,1,0,1,100.0,0.0,,,0.601400611,0.011231183,-2.282457124,0.45631762200000003
989,15,1.522448359,0.8297987440000001,without fans,good,Excellent,0,5,5,0.0,100.0,,,0.606472895,0.011679486999999999,-2.267511894,0.46004816299999995
1147,15,1.204791017,0.967985491,without fans,good,good,1,1,2,50.0,50.0,,,0.627117895,0.013543485,-2.210262193,0.47385097600000003
1189,15,1.590085854,0.89625157,without fans,Cold,good,1,3,4,25.0,75.0,,,0.632059013,0.014038978999999998,-2.19619544,0.47682804
1752,16,1.778303196,0.8063332440000001,without fans,good,Excellent,3,2,5,60.0,40.0,,,0.6863095709999999,0.020680949,-2.0398838169999998,0.513417247
1764,16,2.3085990659999998,0.638894922,without fans,good,good,2,1,3,66.66666667,33.33333333,,,0.68727266,0.020822518999999998,-2.037049937,0.514028279
1940,17,1.328281421,0.930415515,without fans,good,good,1,3,4,25.0,75.0,,,0.702176499,0.022898872,-1.997252649,0.523996736
1973,17,1.944365895,0.495719309,without fans,good,Wet and Fast,2,1,3,66.66666667,33.33333333,,,0.7045435720000001,0.023288187999999998,-1.99013218,0.525716239
1978,17,1.261834738,0.815516971,without fans,good,Excellent,1,0,1,100.0,0.0,,,0.704827267,0.023347176,-1.9890620780000001,0.52596493
2053,17,1.77015958,0.745926706,without fans,good,Excellent,1,1,2,50.0,50.0,,,0.710836317,0.024231985,-1.9732773630000002,0.529525269
2150,24,2.187500311,0.733846509,without fans,Mild,wet,1,0,1,100.0,0.0,,,0.7182011429999999,0.025376338999999998,-1.953565044,0.534427347
2172,24,1.8223491630000002,0.745746338,without fans,good,good,0,3,3,0.0,100.0,,,0.719119437,0.025635882999999998,-1.9491981459999999,0.535376109
2342,26,0.45792219100000003,2.8769470889999997,without fans,good,Excellent,2,1,3,66.66666667,33.33333333,,,0.7318602740000001,0.027641452,-1.916646132,0.54198877
2616,40,1.7886322209999999,1.4923588209999998,without fans,good,good,4,3,7,57.14285714,42.85714286,,,0.749304821,0.030873956,-1.8681015909999998,0.552807229
2617,40,1.4,1.1,without fans,Cold,Arthificial turf,1,2,3,33.33333333,66.66666667,,,0.7493189029999999,0.030885753,-1.867932309,0.552921373
2621,40,2.172638998,0.792125269,without fans,Hot,good,1,0,1,100.0,0.0,,,0.749627467,0.030932942999999997,-1.867255715,0.5532161720000001
2683,40,1.296264659,1.472542239,without fans,windy,Arthificial turf,1,1,2,50.0,50.0,,,0.7534774909999999,0.031664386,-1.856876184,0.556205453
2697,40,1.9749133030000001,0.97124082,without fans,good,Uneven & Cutting up,1,2,3,33.33333333,66.66666667,,,0.7550942429999999,0.03182955,-1.854559888,0.556737777
2701,40,1.3747018469999999,1.300317856,without fans,Hot,good,0,3,3,0.0,100.0,,,0.7553640770000001,0.03187674,-1.853899914,0.556886277
2719,40,1.189302068,1.621773065,without fans,Cloudy,good,2,0,2,100.0,0.0,,,0.75667559,0.032089094,-1.850939976,0.557614409
2732,40,1.8854175380000002,1.211931316,without fans,rainy,Excellent,1,0,1,100.0,0.0,,,0.757249437,0.032242461,-1.848812285,0.558132539
2751,40,1.069856105,1.9018719219999998,without fans,good,good,1,1,2,50.0,50.0,,,0.758164304,0.032466613,-1.8457175590000001,0.558734477
2755,40,1.836848386,1.131809685,without fans,good,good,2,3,5,40.0,60.0,,,0.758391137,0.032513803,-1.845068285,0.5587767579999999
2797,40,1.5242742230000002,1.3845392380000001,without fans,windy,good,1,1,2,50.0,50.0,,,0.761435614,0.033009296,-1.838297408,0.5608787789999999
2803,40,1.88105621,0.831597705,without fans,Hot,good,0,3,3,0.0,100.0,,,0.761649054,0.033080081000000004,-1.837336991,0.561133248
2816,40,1.508138112,1.171928098,without fans,Hot,Excellent,2,0,2,100.0,0.0,,,0.762508813,0.033233448,-1.83526188,0.5616409760000001
2863,40,1.52556516,1.2769250540000001,without fans,good,good,0,2,2,0.0,100.0,,,0.765162663,0.033787929,-1.8278247490000001,0.563495434
2934,40,2.133455609,0.877984254,without fans,Cold,good,1,1,2,50.0,50.0,,,0.7692517440000001,0.034625549,-1.8167781019999998,0.5661648429999999
2941,40,1.676462761,1.111577622,without fans,Cold,Arthificial turf,3,1,4,75.0,25.0,,,0.769659395,0.034708131,-1.815700928,0.566417262
2973,40,2.040508062,0.732492386,without fans,good,Excellent,2,0,2,100.0,0.0,,,0.771587525,0.03508565,-1.81080334,0.567497949
2985,40,1.392091485,1.257065286,without fans,good,good,3,3,6,50.0,50.0,,,0.772306802,0.035227219,-1.8089778909999998,0.56803528
3014,40,1.087781066,1.3585481190000002,without fans,Hot,good,3,1,4,75.0,25.0,,,0.7736446109999999,0.035569345,-1.804591105,0.5689563129999999
