Unnamed: 0,L1,L2,Attendance,Weather,PitchCondition
0,1.030890101,0.985632478,1,1,1
2,1.3473430569999998,1.044398639,1,2,2
4,1.34736255,0.833798645,2,3,1
5,2.03687842,0.567667948,3,3,2
6,1.6626921119999998,0.591048083,3,4,3
7,1.167596179,0.946568418,1,5,2
8,1.281759155,0.7417988320000001,1,3,1
9,2.0224189519999998,0.537268939,3,5,2
10,1.394837631,0.646917979,3,2,1
11,0.559835095,1.914816953,3,2,1
12,1.723547103,0.81104419,2,4,3
13,1.843857246,0.627041415,1,1,2
14,0.593227235,1.670837926,1,5,2
16,1.311659702,0.624650931,1,4,1
17,1.148979348,0.6976382320000001,1,2,2
18,0.803865662,1.09400067,1,3,4
19,0.7943812729999999,1.573928739,1,2,2
20,1.9675115090000002,0.789738002,1,6,2
24,2.925039835,0.37301174600000003,1,1,2
25,0.7574589,1.108820975,1,2,2
26,0.678440325,1.597898049,1,2,2
27,1.0958865290000002,1.230723686,3,2,1
28,1.4876699530000002,0.964448533,1,7,2
29,1.8344520819999999,0.9687335220000001,3,2,2
30,1.043671735,0.895081107,3,2,5
32,1.205516772,1.219300544,3,2,5
33,1.583091735,0.786342228,3,2,5
34,1.122307262,1.274384845,1,2,1
35,2.9874973810000003,0.493990744,2,2,1
36,1.12100409,1.006053437,3,2,5
38,2.59685189,0.690308075,1,4,1
40,1.6580598530000001,0.939549403,1,2,1
41,2.223933751,0.565730509,1,2,5
42,1.4295381919999999,1.20761591,1,4,3
44,1.114127213,1.2047597209999998,3,2,1
45,1.222523125,1.42820249,3,2,1
46,0.9159314040000001,0.934449858,1,2,1
47,1.29890456,1.103790427,1,2,2
48,1.302168016,1.358762271,3,2,2
49,2.163455799,0.842295455,3,6,5
50,1.562913979,0.9102450390000001,3,8,2
51,1.60791114,0.7999598259999999,3,2,1
52,1.219659082,1.208026905,1,2,1
53,1.398261639,0.952527262,3,2,7
54,1.637859236,0.750388921,1,2,1
56,1.329154795,0.981446605,1,2,1
57,1.6927564259999999,0.825411688,3,2,1
58,1.449674818,0.9815184840000001,3,2,1
61,0.9493192659999999,1.208613068,1,2,1
63,1.43281903,1.227637893,1,2,2
64,1.713287768,0.571484721,3,2,1
65,1.685596883,0.771918873,3,2,1
66,1.6110321840000001,0.7278567020000001,1,5,2
67,1.7824903909999998,0.825455918,1,2,1
68,1.435103924,0.971983535,1,2,1
69,1.402234524,1.075966301,3,2,2
71,1.337029557,1.078333276,2,2,1
72,1.229294899,1.9162574159999999,1,2,2
73,1.372052221,1.536810768,3,2,1
74,1.20229435,1.03666302,3,2,1
75,1.772754034,0.95663437,1,2,1
77,1.100952069,1.10322049,1,2,1
79,1.031127251,1.1706158740000001,3,5,1
80,1.010204909,1.360675888,1,2,1
81,1.1640098890000001,1.200798418,3,2,2
84,1.226321706,0.867614827,3,2,1
85,1.777983869,0.944656047,3,2,2
86,1.7676628019999998,0.95851053,2,2,2
87,1.515665309,1.2652188340000001,3,2,1
88,1.885791236,1.027231596,1,2,2
90,1.5190323959999998,0.884393271,3,6,1
91,1.735603412,0.7663245040000001,2,2,1
92,1.9640203019999998,0.894921905,3,3,1
93,2.021706616,0.71505273,3,3,2
94,1.829673174,0.6413778720000001,3,2,2
96,1.049702935,1.530488265,2,2,1
97,1.776770146,0.810564312,2,2,1
98,1.54751812,0.693567224,1,2,1
99,1.608692248,0.9771070820000001,3,2,2
100,1.270998286,1.065096388,3,2,1
103,1.397204546,0.826919912,1,2,1
105,1.473480278,1.114939272,3,2,1
106,1.276054697,1.0724068979999999,3,2,1
107,1.147796282,1.237661425,1,2,1
108,1.6985753190000001,0.904422918,3,6,2
109,2.014499281,1.1269676640000001,3,10,5
110,1.552923894,0.6752471659999999,2,2,1
111,1.934909514,0.8019485409999999,1,5,1
112,1.7655866340000002,1.000854035,1,7,3
113,1.864430878,0.8398194990000001,3,2,1
114,1.244273731,1.239506912,1,4,4
116,1.036532232,1.333764856,1,2,1
117,1.245143576,1.260374685,1,2,2
118,1.431234305,1.077539725,1,2,1
119,1.349171307,1.362971811,2,6,5
120,1.109662223,1.293186263,1,2,1
121,1.108191435,1.388839752,3,5,1
122,0.796572653,2.010277261,3,2,1
123,1.385939501,0.904071354,3,3,1
124,1.345000109,1.187817374,1,2,1
125,1.055743855,1.2323356,3,2,1
126,1.986669374,0.755324587,3,2,1
127,1.193506383,1.330710436,3,5,2
128,1.228932336,0.92635232,1,2,1
131,1.9576060000000002,0.937448015,3,5,1
132,1.346021706,0.8749384920000001,1,2,1
134,1.3894903669999998,0.96160478,3,2,1
135,0.7509790820000001,2.288696495,1,2,1
137,1.4330124869999998,0.8363627859999999,4,11,8
138,1.407863411,0.9755376109999999,1,2,1
139,0.9868265940000001,0.800816182,3,2,1
140,1.694372851,0.895225886,3,2,1
143,1.602184447,0.719614463,1,2,1
144,0.8226132620000001,1.3663059119999998,1,2,2
146,1.48750562,1.024075364,1,2,1
147,1.071586632,1.2001068879999999,3,2,1
148,1.9080196569999999,0.86520231,3,4,3
149,1.678333941,0.877015581,1,2,1
150,1.321315968,0.927695127,1,6,5
151,2.496996707,0.7136318859999999,3,2,1
153,1.252232338,1.135251128,1,11,1
154,1.5767061340000001,0.713938195,1,2,1
155,0.973867279,1.043400036,2,2,1
156,1.1014469740000001,1.221880146,1,2,2
157,1.6933871059999999,0.845060102,3,2,1
158,3.3777273039999995,0.447180026,1,2,1
159,1.260321987,1.086227696,3,2,1
160,1.329291403,1.012648963,3,2,1
161,1.1859866479999999,1.35386399,1,2,2
162,1.134435402,1.1046349009999998,3,2,1
163,2.867634595,0.76453697,1,12,4
164,1.6416533519999998,0.988815012,3,2,1
165,1.4949369780000001,0.833171751,2,3,5
166,1.035469419,1.013774867,1,9,1
169,1.622302048,1.100985435,3,7,1
171,1.200521901,1.262655251,1,6,1
172,2.263590101,0.6587636139999999,1,2,2
173,0.8863817540000001,1.5490327469999998,1,2,1
174,1.237370225,0.9721923170000001,2,2,1
175,1.211441857,1.280726552,2,2,2
179,1.24476901,0.810675457,1,2,1
181,1.2504414190000002,0.8808080309999999,1,1,1
182,1.722350069,0.779275438,3,2,2
184,1.5813404009999998,1.32688043,2,3,5
185,2.171763977,0.956526222,3,2,5
186,1.658312015,0.769993178,3,2,2
187,1.100163384,1.1727994309999998,4,2,2
188,1.306683848,1.1056441240000001,1,2,2
190,1.236024421,1.210307818,3,5,2
191,1.7635444480000002,0.849961937,2,2,1
192,1.870292219,0.737746785,3,2,1
193,1.824160332,1.0173296,4,2,2
194,1.587777785,1.223600045,3,2,1
195,1.805803953,1.009310193,1,4,3
196,1.3736725630000002,1.456012342,3,2,1
198,1.635249045,0.845929145,3,2,1
199,1.395151178,0.891072785,1,2,1
200,1.6939228259999999,1.129524902,3,8,3
201,1.443310795,1.527717622,1,5,2
202,1.7007716919999998,1.243160439,1,3,1
203,1.395349858,0.7793275909999999,1,9,1
204,1.171157942,1.5896216369999998,3,2,5
205,1.245507014,1.603247754,1,9,2
209,1.39216444,1.044854949,1,2,1
210,1.998679981,0.905692024,3,2,1
211,0.8912760890000001,1.597116215,3,2,1
212,1.195074438,1.173830596,1,2,1
215,1.198857586,1.420818226,1,2,1
217,1.671733268,1.191128639,1,3,2
219,1.986692576,0.8478472840000001,3,2,1
221,1.096408818,1.054725777,3,2,1
222,0.984929935,1.652140956,1,1,1
224,1.075331118,1.13615922,3,2,1
225,1.49076712,0.779360937,1,2,1
226,3.046557931,0.653245634,1,2,1
227,1.22588788,1.172305963,3,9,1
228,1.8911393330000001,0.815636949,3,2,2
229,1.500804178,1.1403079109999998,1,2,2
231,1.3100504240000002,1.3063002479999999,1,2,2
232,1.149478966,0.802373025,3,9,1
233,1.434780569,1.518814065,3,2,5
234,1.7715006709999999,1.031107083,3,2,1
235,1.186746125,1.081491933,1,4,1
237,1.069810366,0.945327602,1,2,1
238,1.811460628,0.8117458240000001,1,2,1
239,1.277395259,1.008590239,3,9,1
241,1.6117014440000001,0.6960626390000001,1,2,1
242,1.775229494,0.981527334,3,2,1
243,0.9268420690000001,1.121160019,1,9,1
244,1.8115390390000001,1.1854415440000001,1,2,5
245,0.707627972,2.223199459,1,2,1
247,1.2231359529999999,0.916119564,1,2,1
249,1.333067597,0.947714828,3,2,2
250,1.193463489,0.890365147,2,2,1
251,1.3780623419999998,0.97497616,1,2,1
252,2.028080778,0.805311447,1,2,1
253,1.582084031,0.694995537,2,2,2
254,1.6671648999999997,0.992698629,1,2,2
256,1.16568774,1.264486134,3,2,2
257,1.012783902,1.274257,1,3,2
258,1.5400559669999998,0.762781955,3,2,1
259,1.393429038,0.9309638640000001,1,2,2
262,1.126760347,1.270441863,1,2,2
263,1.410523222,1.37783948,3,2,2
264,1.198480779,1.493193635,2,2,2
