compete,check_unique
2,28
3,11
4,293
5,113
8,9
13,300
15,482
16,591
17,246
20,1
21,2
22,20
23,19
24,192
26,273
32,1
33,4
34,5
35,2
40,3402
43,4
45,12
51,8
52,1
55,485
61,77
66,1
67,31
69,2
70,2
71,5
78,3
82,2
83,1
84,3
85,2
86,2
90,2
92,3
94,8
100,113
103,346
104,192
105,3
108,4
109,16
111,1
114,9
115,27
117,23
118,96
120,100
121,50
122,2
123,3
127,47
129,137
131,809
133,796
134,19
135,720
139,1
141,419
142,1055
144,113
146,9
147,179
148,1
149,3
150,8
151,29
152,38
153,7
154,621
155,406
156,125
157,325
158,799
159,7
163,1
164,478
165,204
166,38
168,2
171,444
172,478
173,308
175,28
176,36
177,581
178,362
179,935
180,489
182,517
184,43
186,31
187,3
188,14
189,40
190,213
191,9
193,47
194,3
195,174
196,627
198,1002
199,841
200,1
201,6
202,6
203,3
204,632
205,15
206,1
207,628
209,927
211,10
212,146
213,1
214,248
215,43
216,4
218,26
219,372
221,36
222,31
223,332
225,303
226,704
228,349
229,4
233,181
235,950
236,1
237,198
238,3
240,5
241,327
243,2
245,40
246,1
248,632
249,3
250,1029
251,183
252,134
253,1258
254,45
255,3
256,474
257,53
258,25
260,1223
261,125
262,4
264,38
266,353
267,173
268,109
269,62
270,399
271,35
273,31
274,1071
275,62
276,57
277,3
278,2
279,60
281,73
282,72
283,470
284,27
286,810
287,95
288,146
290,306
291,32
293,56
295,1
298,86
299,14
301,139
302,50
303,216
304,1123
305,83
306,85
308,1036
309,60
310,548
313,505
314,147
315,66
316,439
321,247
322,201
323,64
328,123
329,6
330,4
332,783
333,48
334,69
335,113
336,70
337,2
338,167
339,3
340,207
343,154
344,47
345,21
346,98
347,280
348,1
349,551
350,327
352,45
355,111
356,93
357,809
358,1
359,342
361,209
364,820
365,235
366,261
367,2
368,80
369,1016
370,91
371,1479
372,755
374,59
377,429
379,68
380,180
381,39
382,312
383,964
384,379
385,2
387,410
390,693
391,279
392,547
393,255
394,65
395,823
396,998
398,41
400,40
404,116
406,618
407,334
409,23
410,932
412,33
413,13
415,1
416,7
420,26
421,1
422,31
424,13
425,64
426,37
427,59
428,6
429,274
430,87
432,38
433,3
434,246
436,1
440,49
443,209
444,16
447,2
450,44
451,19
452,618
456,672
457,38
458,253
459,4
460,1
464,40
465,40
466,13
468,187
469,21
471,25
473,84
475,6
477,22
478,12
480,9
482,82
483,34
484,4
485,187
488,18
494,87
495,36
497,7
499,3
501,4
502,130
506,21
510,9
516,1
517,4
518,22
519,20
520,1
524,28
528,91
529,38
533,74
539,23
540,8
544,50
545,26
549,7
553,35
554,39
557,5
564,8
573,12
575,1
576,8
578,28
579,11
580,1
582,5
585,2
587,60
588,579
590,32
591,2
592,1
594,1
597,10
599,7
603,4
604,2
610,23
611,39
612,2
613,4
614,239
618,20
623,8
624,15
628,1
631,24
632,32
634,7
639,5
642,2
644,41
646,4
650,1
651,1
652,4
653,3
654,7
656,3
657,4
660,41
663,11
665,21
668,20
669,6
672,5
674,6
675,129
678,3
682,5
688,442
691,4
695,196
696,758
697,247
700,4
705,212
711,322
714,2
715,4
717,1
719,5
720,589
721,43
723,431
724,156
726,206
727,160
729,323
735,1
742,110
743,5
744,10
745,23
747,715
751,109
752,3
757,18
764,16
768,303
770,123
771,85
772,51
773,4
774,21
775,105
776,8
777,2
778,26
780,36
781,12
782,34
785,1
786,846
787,3
789,32
790,30
791,12
792,2
797,38
799,46
804,6
805,33
808,12
809,4
810,4
811,1
818,1
819,4
820,103
822,20
824,14
826,14
829,25
833,59
834,3
835,37
836,46
838,26
847,3
852,6
853,106
855,81
856,18
876,29
879,2
880,20
886,18
888,2
889,2
890,2
891,55
892,3
893,16
896,51
897,2
899,16
900,38
901,2
902,3
907,9
910,375
912,1
918,9
919,2
920,457
923,2
927,5
931,38
932,11
936,2
937,4
939,35
945,9
948,154
954,4
956,79
960,2
963,2
966,4
967,1
969,6
974,14
977,115
988,2
991,4
992,2
997,1
1004,16
1042,9
1051,55
1053,189
1077,1
1084,4
1099,52
1101,13
1103,11
1106,135
1114,71
1118,11
1122,21
1124,21
1128,2
1134,138
1136,4
1161,9
1162,3
1165,3
1171,8
1172,7
1179,1
1192,78
1194,2
1197,1
1198,10
1199,85
1216,1
1217,2
1218,65
1221,7
1227,273
1229,87
1234,1
1238,12
1244,11
1246,3
1249,1
1254,209
1261,12
1262,1
1263,280
1265,1
1270,28
1271,2
1272,68
1276,2
1277,42
1281,2
1288,1
1293,41
1295,6
1297,40
1307,16
1310,2
1311,9
1318,12
1319,11
1327,2
1341,20
1344,2
1347,8
1352,468
1353,1
1354,6
1358,237
1360,38
1365,2
1366,18
1368,2
1369,60
1370,14
1371,78
1374,3
1376,2
1381,1
1382,2
1384,36
1385,28
1386,182
1387,59
1388,42
1389,30
1390,27
1391,2
1394,2
1400,1
1401,13
1402,7
1403,19
1404,1
1406,5
1410,48
1411,5
1412,20
1413,5
1418,1
1421,121
1423,1
1424,1
1425,1
1426,1
1427,14
1428,4
1429,2
1430,1
1431,3
1433,2
1435,1
1437,5
1441,2
1444,1
1445,2
1446,10
1447,88
1453,13
1455,15
1456,4
1460,3
1463,20
1465,8
1466,5
1467,4
1468,15
1470,5
1474,4
1477,1
1479,1
1480,1
1481,1
1485,16
1486,13
1487,10
1488,8
1490,42
1492,3
1493,2
1494,4
1495,1
1496,8
1497,13
1498,4
1500,1
1504,8
1505,51
1506,3
1508,4
1509,6
1512,30
1513,20
1515,1
1517,4
1520,19
1521,3
1526,2
1527,3
1529,1
1530,1
1531,1
1538,8
1541,118
1543,4
1546,7
1548,1
1552,51
1554,41
1562,1
1566,12
1568,9
1570,1
1573,19
1576,1
1577,6
1578,8
1579,1
1580,2
1582,4
1584,7
1585,38
1586,5
1588,34
1590,1
1592,474
1596,2
1597,1
1601,1
1602,2
1603,45
1604,2
1605,78
1609,3
1610,27
1611,9
1614,62
1616,2
1617,4
1619,1
1621,9
1622,148
1624,27
1625,3
1629,2
1630,75
1633,33
1634,126
1635,2
1637,1
1639,4
1641,34
1644,1
1658,12
1661,1
1664,9
1667,36
1670,8
1671,4
1673,4
1674,1
1677,12
1680,1
1681,1
1684,3
1688,4
1691,20
1692,1
1693,5
1694,31
1695,4
1697,6
1698,4
1699,13
1701,1
1703,3
1704,2
1707,1
1708,17
1709,5
1710,8
1711,9
1712,2
1713,8
1714,1
1725,10
1727,11
1729,1
1732,19
1733,2
1734,16
1747,1
1748,28
1749,1
1750,1
1751,2
1759,11
1760,7
1761,4
1762,1
1765,10
1766,4
1767,1
1768,12
1769,1
1773,1
1775,7
1776,1
1778,1
1780,54
1785,9
1786,55
1787,2
1791,3
1792,1
1793,3
1796,4
1798,1
1800,2
1801,1
1803,1
1808,2
1809,16
1810,3
1811,6
1813,1
1814,1
1816,2
1821,3
1823,5
1824,39
1825,2
1827,2
1829,2
1834,18
1838,9
1839,48
1842,36
1847,2
1852,25
1853,2
1854,1
1860,1
1944,1
1945,5
1946,1
1950,22
1951,21
1958,1
1962,4
1966,12
1967,1
1969,2
1970,1
1974,1
1977,25
1978,102
1980,60
1982,14
1984,96
1985,1
1986,2
1990,92
1992,248
1993,3
1994,1
1996,4
1997,3
1999,1
2000,3
2001,1
2022,1
2026,8
2027,1
2029,4
2037,1
2041,6
2042,1
2059,2
2062,4
2067,8
2068,20
2072,1
2077,10
2078,7
2079,7
2084,1
2088,2
2091,20
2092,5
2093,1
2094,10
2095,2
2096,1
2098,1
2100,2
2102,14
2103,6
2104,3
2105,1
2107,1
2111,1
2117,53
2119,8
2121,4
2124,2
2126,2
2128,1
2130,3
2138,1
2139,9
2141,1
2143,2
2145,4
2148,21
2150,3
2151,2
2152,13
2155,37
2159,6
2160,5
2161,8
2163,3
2164,2
2167,3
2168,2
2169,89
2171,15
2173,25
2180,1
2181,61
2182,11
2183,24
2185,1
2188,1
2189,1
2192,22
2194,9
2199,1
2200,1
2212,9
