,L1,L2,Attendance,Weather,PitchCondition
0,1.030890101,0.985632478,1,1,1
1,0.762239832,1.090109992,1,2,2
2,1.347343057,1.044398639,1,2,2
3,1.237927294,0.943657555,1,2,1
4,1.34736255,0.833798645,2,3,1
5,2.03687842,0.567667948,3,3,2
6,1.662692112,0.591048083,3,4,3
7,1.167596179,0.946568418,1,5,2
8,1.281759155,0.741798832,1,3,1
9,2.022418952,0.537268939,3,5,2
10,1.394837631,0.646917979,3,2,1
11,0.559835095,1.914816953,3,2,1
12,1.723547103,0.81104419,2,4,3
13,1.843857246,0.627041415,1,1,2
14,0.593227235,1.670837926,1,5,2
15,0.50782526,1.880210987,1,3,1
16,1.311659702,0.624650931,1,4,1
17,1.148979348,0.697638232,1,2,2
18,0.803865662,1.09400067,1,3,4
19,0.794381273,1.573928739,1,2,2
20,1.967511509,0.789738002,1,6,2
21,1.579649425,0.708953753,2,2,4
22,1.40536973,0.554861227,1,2,2
23,1.000520302,1.071928771,1,2,2
24,2.925039835,0.373011746,1,1,2
25,0.7574589,1.108820975,1,2,2
26,0.678440325,1.597898049,1,2,2
27,1.095886529,1.230723686,3,2,1
28,1.487669953,0.964448533,1,7,2
29,1.834452082,0.968733522,3,2,2
30,1.043671735,0.895081107,3,2,5
31,1.611902537,0.611515933,3,6,1
32,1.205516772,1.219300544,3,2,5
33,1.583091735,0.786342228,3,2,5
34,1.122307262,1.274384845,1,2,1
35,2.987497381,0.493990744,2,2,1
36,1.12100409,1.006053437,3,2,5
37,0.598911273,2.045147553,1,2,6
38,2.59685189,0.690308075,1,4,1
39,1.734921901,1.141875203,1,5,2
40,1.658059853,0.939549403,1,2,1
41,2.223933751,0.565730509,1,2,5
42,1.429538192,1.20761591,1,4,3
43,1.31070662,1.132538342,3,2,5
44,1.114127213,1.204759721,3,2,1
45,1.222523125,1.42820249,3,2,1
46,0.915931404,0.934449858,1,2,1
47,1.29890456,1.103790427,1,2,2
48,1.302168016,1.358762271,3,2,2
49,2.163455799,0.842295455,3,6,5
50,1.562913979,0.910245039,3,8,2
51,1.60791114,0.799959826,3,2,1
52,1.219659082,1.208026905,1,2,1
53,1.398261639,0.952527262,3,2,7
54,1.637859236,0.750388921,1,2,1
55,1.456417615,0.965628532,1,2,1
56,1.329154795,0.981446605,1,2,1
57,1.692756426,0.825411688,3,2,1
58,1.449674818,0.981518484,3,2,1
59,1.263607301,0.823121039,1,9,1
60,1.457796086,1.273524827,2,2,1
61,0.949319266,1.208613068,1,2,1
62,1.295140595,1.108727487,3,3,2
63,1.43281903,1.227637893,1,2,2
64,1.713287768,0.571484721,3,2,1
65,1.685596883,0.771918873,3,2,1
66,1.611032184,0.727856702,1,5,2
67,1.782490391,0.825455918,1,2,1
68,1.435103924,0.971983535,1,2,1
69,1.402234524,1.075966301,3,2,2
70,0.673099927,2.276928477,1,2,1
71,1.337029557,1.078333276,2,2,1
72,1.229294899,1.916257416,1,2,2
73,1.372052221,1.536810768,3,2,1
74,1.20229435,1.03666302,3,2,1
75,1.772754034,0.95663437,1,2,1
76,1.003113921,1.26527176,3,2,1
77,1.100952069,1.10322049,1,2,1
78,1.063141739,1.026158844,1,2,1
79,1.031127251,1.170615874,3,5,1
80,1.010204909,1.360675888,1,2,1
81,1.164009889,1.200798418,3,2,2
82,1.623186177,0.847824644,1,1,2
83,1.188618099,1.284913391,2,2,2
84,1.226321706,0.867614827,3,2,1
85,1.777983869,0.944656047,3,2,2
86,1.767662802,0.95851053,2,2,2
87,1.515665309,1.265218834,3,2,1
88,1.885791236,1.027231596,1,2,2
89,1.324717652,1.204805773,2,2,2
90,1.519032396,0.884393271,3,6,1
91,1.735603412,0.766324504,2,2,1
92,1.964020302,0.894921905,3,3,1
93,2.021706616,0.71505273,3,3,2
94,1.829673174,0.641377872,3,2,2
95,1.251964863,0.86241795,1,5,1
